promedio_global,materias_reprobadas,edad,apoyo_familiar,minutos_traslado,horas_estudio,horas_trabajo,horas_sueno,frecuencia_IA,escuela,genero,dependientes_economicos,personas_a_cargo,apoyos_economicos,foraneo,validacion_encuesta,enfermedad_cronica,satisfaccion_carrera,ejercer_carrera
7.0,1.0,18,4,90.0,5.0,0.0,4.0,2,3,0,0,1,0,0,2,0,2,2
4.6,3.0,20,3,90.0,1.0,4.0,4.0,1,3,1,1,1,1,0,2,0,2,2
8.5,0.0,19,5,40.0,1.0,5.0,4.0,3,3,1,1,2,1,0,2,0,2,2
6.3,2.0,20,2,180.0,2.0,6.0,5.0,1,3,0,0,1,1,1,2,0,2,2
8.0,2.0,24,4,120.0,0.0,0.0,6.0,3,3,1,1,2,1,0,2,0,2,2
8.2,1.0,23,3,100.0,3.0,0.0,6.0,2,3,1,0,1,1,1,2,0,2,2
8.0,2.0,18,1,90.0,5.0,6.0,4.0,2,3,0,1,2,0,0,2,0,2,2
7.9,1.0,21,5,140.0,3.0,0.0,7.0,4,3,0,0,1,1,0,2,0,2,2
7.9,4.0,24,1,140.0,8.0,6.0,5.0,1,3,0,1,1,1,1,2,0,2,2
8.0,2.0,23,4,180.0,3.0,0.0,5.0,3,3,1,0,1,1,1,2,0,2,2
7.4,1.0,22,2,90.0,3.0,7.0,5.0,2,3,1,1,1,1,0,2,0,2,2
8.0,4.0,22,5,135.0,5.0,0.0,4.0,1,3,0,0,1,1,0,2,0,2,2
7.2,5.0,23,5,120.0,3.0,7.0,4.0,2,3,1,0,1,1,0,2,0,2,2
8.0,4.0,21,5,80.0,5.0,20.0,7.0,2,3,0,0,1,1,0,2,0,2,2
9.3,0.0,19,5,90.0,4.0,0.0,6.0,1,3,2,1,1,1,0,2,0,1,1
8.0,3.0,23,5,90.0,3.0,5.0,4.0,3,3,1,0,1,1,0,2,0,2,2
7.9,5.0,24,4,180.0,5.0,0.0,3.0,5,3,0,0,1,1,1,2,0,2,2
8.0,2.0,21,5,180.0,4.0,0.0,4.0,1,3,0,0,1,1,0,2,0,2,2
8.1,1.0,21,5,180.0,3.0,0.0,4.0,3,3,1,0,1,1,1,2,0,2,2
7.9,2.0,21,5,150.0,3.0,0.0,8.0,2,3,0,0,1,1,0,2,0,2,2
8.3,5.0,23,1,120.0,3.0,8.0,5.0,1,3,0,0,2,1,0,2,0,2,2
7.8,4.0,23,4,150.0,2.0,5.0,5.0,1,3,1,0,1,0,0,2,0,2,2
7.8,10.0,22,4,180.0,0.0,7.0,4.0,4,3,1,1,1,1,0,2,0,2,1
7.1,30.0,26,5,130.0,2.0,6.0,4.0,3,3,1,0,1,0,0,1,0,2,2
7.9,1.0,21,4,75.0,3.0,7.0,5.0,1,3,1,1,1,1,1,2,0,2,2
8.2,3.0,22,5,150.0,9.0,0.0,4.0,3,3,1,0,1,1,1,2,0,2,2
7.4,4.0,22,3,120.0,6.0,4.0,3.0,2,3,1,0,1,1,0,2,0,2,2
8.2,2.0,21,5,140.0,2.0,0.0,6.0,3,3,1,0,1,1,1,2,1,2,2
9.0,2.0,22,3,120.0,3.0,0.0,7.0,1,3,1,1,2,1,1,0,1,2,2
7.9,3.0,23,5,60.0,4.0,0.0,4.0,1,3,0,0,1,0,0,2,0,2,2
8.1,3.0,22,4,120.0,1.0,8.0,4.0,3,3,0,0,1,1,0,2,0,2,2
8.2,4.0,23,5,95.0,4.0,0.0,7.0,2,3,0,0,1,1,0,2,0,2,2
8.1,3.0,22,4,120.0,1.0,8.0,4.0,3,3,0,0,1,1,0,2,0,2,2
8.0,2.0,24,3,90.0,4.0,0.0,6.0,2,3,1,0,1,1,0,2,0,2,2
7.6,5.0,23,3,150.0,3.0,5.0,4.0,2,3,1,0,1,0,0,2,0,2,2
8.5,0.0,22,5,10.0,2.0,0.0,4.0,3,3,1,0,1,1,1,2,0,2,2
8.1,7.0,27,2,120.0,4.0,6.0,5.0,3,3,0,1,2,1,0,2,0,2,2
7.7,2.0,21,5,90.0,3.0,0.0,5.0,3,3,0,0,1,1,0,2,0,2,2
8.5,0.0,21,3,180.0,6.0,9.0,2.5,1,3,1,1,1,1,0,2,0,2,2
8.6,0.0,23,1,15.0,4.0,0.0,6.0,3,3,0,0,1,0,1,2,0,2,2
7.0,1.0,23,3,160.0,120.0,7.0,4.0,4,3,0,0,1,1,1,2,0,2,2
8.3,3.0,22,5,120.0,2.0,0.0,3.0,1,3,1,1,1,1,1,2,0,2,2
7.9,5.0,21,5,90.0,6.0,0.0,4.0,2,3,1,0,1,1,0,2,0,2,2
8.2,4.0,23,4,90.0,6.0,0.0,6.0,2,3,1,1,1,1,0,2,1,2,2
8.4,1.0,22,5,180.0,8.0,0.0,4.0,2,3,0,0,1,1,1,2,0,2,2
7.9,2.0,22,3,60.0,2.0,0.0,5.0,3,3,1,0,1,0,0,2,0,2,2
7.7,4.0,23,5,60.0,4.0,5.0,4.0,1,3,0,0,2,1,0,2,0,2,2
8.4,3.0,23,5,90.0,2.0,0.0,5.0,4,3,1,0,1,0,0,2,1,2,2
8.3,3.0,22,5,15.0,5.0,0.0,5.0,3,3,0,0,1,0,1,2,0,2,2
8.9,1.0,22,4,120.0,2.0,0.0,5.0,2,3,0,0,1,1,0,2,0,2,2
7.5,4.0,22,4,120.0,3.0,5.0,5.0,2,3,1,0,1,1,0,2,0,2,2
6.5,2.0,18,5,20.0,2.0,0.0,8.0,5,3,1,1,1,1,1,2,0,2,2
6.0,8.0,20,5,60.0,3.0,0.0,7.0,2,3,1,0,1,1,0,2,0,2,2
7.9,2.0,22,5,80.0,1.0,0.0,6.0,4,3,0,1,1,1,0,0,0,2,2
7.2,5.0,21,5,20.0,2.0,0.0,6.0,2,3,1,0,1,0,1,2,0,2,2
7.7,3.0,20,3,120.0,3.0,0.0,6.0,3,3,0,1,2,1,0,2,0,2,2
8.2,4.0,22,5,90.0,5.0,9.0,4.0,3,3,0,0,1,1,0,2,0,1,0
5.2,6.0,22,5,120.0,30.0,0.0,5.0,1,4,0,0,1,1,0,2,0,0,2
7.0,6.0,22,5,95.0,4.0,0.0,5.0,1,4,1,1,2,1,0,2,0,2,2
7.2,7.0,23,5,40.0,2.0,0.0,7.0,2,3,0,0,1,0,0,2,0,2,2
5.0,3.0,19,4,90.0,2.0,6.0,4.0,3,5,1,0,1,1,0,2,0,0,1
8.4,0.0,23,4,15.0,1.0,0.0,5.0,1,3,0,0,1,1,1,2,0,2,2
8.4,1.0,23,5,90.0,3.0,0.0,7.0,3,3,1,1,1,0,0,2,0,2,2
7.4,0.0,23,5,90.0,0.0,6.0,2.0,1,3,1,0,1,1,0,1,0,1,0
5.0,4.0,19,3,150.0,3.0,0.0,6.0,1,4,0,1,1,1,0,2,0,2,2
7.0,5.0,30,5,180.0,2.0,0.0,5.0,2,3,1,0,1,1,0,2,0,2,2
8.0,0.0,22,5,120.0,2.0,5.0,6.0,4,3,1,1,1,1,0,2,0,2,2
8.8,0.0,22,2,150.0,4.0,0.0,6.0,2,3,1,0,1,1,0,2,0,2,2
8.0,5.0,23,5,90.0,1.0,6.0,7.0,3,3,1,0,1,1,0,2,0,2,2
8.2,2.0,21,5,25.0,3.0,5.0,9.0,4,3,1,0,1,1,1,2,0,2,2
7.8,3.0,20,5,10.0,6.0,0.0,5.0,5,3,1,0,1,1,1,2,0,2,2
8.8,0.0,22,5,45.0,2.0,4.0,5.0,4,3,1,0,1,0,0,2,0,0,2
8.1,1.0,21,3,120.0,3.0,4.0,4.0,1,3,1,1,2,1,1,2,0,2,2
7.8,0.0,19,5,60.0,2.0,0.0,6.0,3,3,1,1,1,1,1,2,0,2,1
8.0,3.0,23,5,100.0,3.0,0.0,4.0,3,3,0,0,2,0,1,2,0,2,1
9.0,0.0,23,4,30.0,3.0,0.0,6.0,2,3,1,0,1,1,1,2,0,2,2
7.5,6.0,25,5,180.0,3.0,5.0,6.0,1,3,1,0,2,1,0,2,0,2,2
9.4,0.0,23,5,20.0,12.0,0.0,6.0,2,3,1,0,1,1,1,2,0,2,2
8.1,2.0,23,4,40.0,5.0,0.0,7.0,2,3,0,0,2,1,1,2,1,2,2
8.0,2.0,24,5,40.0,4.0,0.0,5.0,2,3,1,0,1,1,1,2,0,2,2
8.0,4.0,23,5,60.0,3.0,4.0,5.0,2,3,1,1,2,0,0,2,0,2,2
4.5,3.0,20,4,90.0,3.0,0.0,6.0,4,3,1,0,2,1,1,2,0,2,2
8.4,1.0,21,4,75.0,2.0,0.0,7.0,4,3,0,0,1,1,0,2,0,2,2
7.9,4.0,22,5,90.0,4.0,0.0,7.0,3,3,0,0,1,1,0,2,0,2,2
8.4,0.0,21,5,30.0,2.0,0.0,7.0,4,3,1,0,1,1,1,1,0,2,2
